"","app","uid","context","timestamp","Physics_EAP","ForceAndMotion_EAP","LinearMomentum_EAP","Energy_EAP","Torque_EAP","NFL_EAP","NSL_EAP","NTL_EAP","POfMom_EAP","ConOfMom_EAP","EnergyTransfer_EAP","EnergyDissipate_EAP","StaticEquilibrium_EAP","PropertiesofTorque_EAP","Physics_Margin.High","Physics_Margin.Medium","Physics_Margin.Low"
"17","adaptive","027c1","Cornfield",2019-05-16 10:34:07,-0.9338,-0.9602,-0.9313,-0.9097,-0.9587,-0.9674,-0.9674,-0.9674,-0.9354,-0.9467,-0.3207,-0.8503,-0.1053,-0.3355,0,0.0346,0.9653
"18","adaptive","029c1","Broken Guitar",2019-05-22 10:53:40,-0.6045,-0.7372,0.0571,-0.6665,-0.7482,-0.9674,-0.9674,-0.9674,0.1889,0.7195,0.0726,-0.9543,0.6522,-0.5386,0.0101,0.3549,0.635
"19","adaptive","031c1","Right Between the Eyes",2019-05-22 10:36:01,-0.9317,-0.9598,-0.9419,-0.8962,-0.9557,-0.9674,-0.9674,-0.9674,-0.9624,-0.9626,0.0146,-0.9674,-0.1715,-0.0799,1e-04,0.0368,0.9632
"20","adaptive","032c1","Freefall",2019-05-23 08:52:49,-0.9294,-0.9583,-0.9218,-0.9138,-0.9504,-0.9674,-0.9674,-0.9674,-0.8736,-0.9542,-0.206,-0.9591,0.942,-0.9583,1e-04,0.0391,0.9608
"21","adaptive","033c1","Cloudy Day",2019-05-23 08:46:29,-0.3601,-0.4157,0.2854,-0.0537,-0.9135,-0.9674,-0.9674,-0.579,0.5247,0.63,0.9605,-0.7528,-0.6965,-0.838,0.0128,0.6023,0.385
"22","adaptive","035c1","Tricks",2019-05-23 08:57:49,-0.7032,-0.8262,0.0404,-0.771,-0.861,-0.9674,-0.9674,-0.9669,0.0119,0.9651,-3e-04,-0.9674,0.2647,-0.4065,0.0044,0.2644,0.7313
"23","adaptive","038c1","Need for Speed",2019-05-23 09:01:50,-0.8188,-0.9027,-0.4115,-0.8451,-0.9061,-0.9674,-0.9674,-0.9674,-0.0916,-0.2147,-0.083,-0.9242,0.9608,-0.9674,0.0011,0.1513,0.8475
"24","adaptive","040c1","Freefall",2019-05-16 11:46:20,-0.9452,-0.9636,-0.9268,-0.9602,-0.9659,-0.9674,-0.9674,-0.9651,-0.8693,-0.957,-0.9048,-0.9657,-0.7426,-0.6713,7.1887e-06,0.0229,0.9771
"25","adaptive","042c1","Pizza Hill",2019-05-20 11:59:34,-0.1344,-0.3161,0.2367,-0.0527,-0.2321,-0.9673,-0.9674,-0.9674,-0.2791,0.8952,0.9674,-0.9674,0.0043,0.7325,0.0385,0.7841,0.1774
"26","adaptive","043c1","Seesaw",2019-05-23 10:51:34,-0.0346,-0.2002,0.3811,-0.01,-0.0729,-0.9674,-0.9674,-0.9674,-0.0049,0.9674,0.9674,-0.9674,-7e-04,0.9673,0.0519,0.8604,0.0877
"27","adaptive","044c1","Socks",2019-05-23 10:55:28,-0.8453,-0.9312,-0.9137,-0.4848,-0.9311,-0.9674,-0.9674,-0.9674,-0.9673,-0.9334,0.7702,-0.9674,-0.0986,-0.0274,4e-04,0.1255,0.8741
"28","adaptive","045c1","Freefall",2019-05-23 10:53:05,0.1324,-0.0941,0.6397,0.4301,-0.0449,-0.9674,-0.9674,-0.9674,0.5239,0.9674,0.9674,0.0805,-0.0146,0.8998,0.1771,0.7827,0.0402
"29","adaptive","046c1","Roller coaster",2019-05-23 10:55:07,-0.2614,-0.4561,0.2264,-0.1251,-0.5038,-0.9674,-0.9674,-0.9674,-0.0591,0.9598,0.9288,-0.9667,0.3236,-0.0784,0.0261,0.6775,0.2964
"30","adaptive","047c1","Seesaw",2019-05-20 11:51:41,-0.458,-0.6752,0.045,-0.2038,-0.8537,-0.9674,-0.9664,-0.967,-0.0372,0.7245,0.9482,-0.9674,-0.2025,-0.469,0.0076,0.5114,0.481
"31","adaptive","049c1","Freefall",2019-05-20 11:49:55,-0.4182,-0.6344,0.0692,-0.1767,-0.7887,-0.9674,-0.9674,-0.9674,-0.0268,0.7203,0.9674,-0.9674,-0.3167,-0.1183,0.0106,0.5466,0.4428
"32","adaptive","052c1","Roller coaster",2019-05-20 11:54:23,-0.2017,-0.3845,0.0679,-0.0806,-0.2752,-0.9674,-0.9636,-0.9352,0.0153,0.2161,0.9673,-0.9592,-0.1399,0.8903,0.0365,0.7186,0.245
"33","adaptive","053c1","Socks",2019-05-17 12:35:02,-0.3997,-0.6088,0.1951,-0.1644,-0.8539,-0.9674,-0.9656,-0.9552,0.2319,0.8878,0.9674,-0.9667,-0.6441,-0.3787,0.0107,0.5655,0.4238
"34","adaptive","056c1","Cornfield",2019-05-20 11:58:34,-0.8827,-0.9127,-0.8073,-0.7574,-0.9656,-0.9674,-0.9674,-0.8849,-0.6721,-0.8274,-0.0325,-0.7439,-0.7424,-0.9585,4e-04,0.0868,0.9128
"35","adaptive","059c1","Seesaw",2019-05-20 11:58:22,-0.9385,-0.9619,-0.9396,-0.909,-0.9665,-0.9674,-0.9674,-0.9656,-0.9342,-0.9657,-0.0488,-0.9602,-0.0482,-0.9575,0,0.0299,0.9701
"36","adaptive","060c1","Dominos",2019-05-23 10:54:55,-0.2475,-0.4451,0.214,-0.1014,-0.485,-0.9674,-0.9674,-0.9674,-0.1565,0.9589,0.9674,-0.9674,0.2032,0.0756,0.0265,0.6912,0.2823
"37","adaptive","061c1","Freefall",2019-05-23 10:52:29,-0.7305,-0.8473,-0.0584,-0.7888,-0.8695,-0.9674,-0.9674,-0.9674,-0.387,0.9,0.0011,-0.9674,-0.0446,0.0439,0.0033,0.2384,0.7583
"38","adaptive","065c1","Broken Guitar",2019-05-17 13:49:45,-0.4144,-0.6328,0.1182,-0.1732,-0.8216,-0.9674,-0.9674,-0.9582,-0.0071,0.8875,0.9674,-0.9674,-0.6157,-0.0653,0.0103,0.5511,0.4387
"39","adaptive","066c1","Cloudy Day",2019-05-17 13:53:47,-0.6415,-0.7874,-0.3308,-0.3646,-0.8975,-0.9674,-0.9674,-0.918,-0.1027,-0.1977,0.7915,-0.9667,-0.6825,-0.1202,0.003,0.3309,0.6661
"40","adaptive","067c1","Socks",2019-05-17 13:54:53,-0.3382,-0.4662,0.372,-0.1193,-0.8755,-0.9674,-0.9674,-0.7854,0.6677,0.871,0.9674,-0.9673,-0.6631,-0.6512,0.012,0.6264,0.3616
"41","adaptive","068c1","Freefall",2019-05-20 13:21:46,-0.3416,-0.5531,0.1863,-0.1418,-0.6941,-0.9674,-0.9674,-0.9673,-0.0232,0.9648,0.9674,-0.9674,-0.2131,0.025,0.0169,0.613,0.37
"42","adaptive","072c1","Seesaw",2019-05-20 13:32:19,-0.5322,-0.5423,0.3351,-0.5962,-0.8052,-0.9674,-0.9596,-0.5823,0.7983,0.935,-0.0341,-0.9667,-0.0296,-0.5565,0.0114,0.4271,0.5615
"43","adaptive","073c1","Freefall",2019-05-20 13:33:33,-0.9059,-0.9476,-0.8962,-0.8897,-0.9185,-0.9673,-0.9674,-0.9674,-0.8128,-0.9387,-0.0038,-0.9668,0.4031,-0.2894,3e-04,0.063,0.9367
"44","adaptive","074c1","Seesaw",2019-05-20 13:21:25,-0.8966,-0.9433,-0.7139,-0.8854,-0.957,-0.9674,-0.9674,-0.9668,-0.7486,-0.4799,-0.0022,-0.9667,-0.0302,-0.7127,3e-04,0.0726,0.9271
"45","adaptive","077c1","Leprechaun",2019-05-20 13:23:15,-0.1947,-0.187,0.4936,0.0153,-0.6192,-0.2783,-0.9674,-0.9674,0.4635,0.9658,0.9674,-0.8124,-0.6712,0.2519,0.0365,0.7258,0.2377
"46","adaptive","078c1","Mr Green",2019-05-20 13:37:41,-0.485,-0.6744,-0.0492,-0.2643,-0.78,-0.9674,-0.9674,-0.9607,-0.0672,0.4217,0.8482,-0.9674,-0.5797,0.1174,0.0115,0.4757,0.5128
"47","adaptive","080c1","Cloudy Day",2019-05-17 13:58:08,-0.2714,-0.3229,0.4913,-0.0736,-0.8051,-0.9674,-0.9674,-0.5218,0.7428,0.9282,0.9514,-0.932,-0.6011,-0.4767,0.0197,0.68,0.3003
"48","adaptive","081c1","Kind Cloud",2019-05-20 13:29:41,-0.5246,-0.7009,-0.3634,-0.1104,-0.7718,-0.9674,-0.9674,-0.9573,-0.0533,-0.4553,0.9393,-0.5559,-0.1652,0.0768,0.0121,0.4334,0.5544
"49","adaptive","083c1","Seesaw",2019-05-20 13:20:59,-0.9309,-0.9591,-0.9257,-0.9051,-0.9558,-0.9673,-0.9674,-0.9674,-0.8922,-0.9544,-0.0326,-0.9674,0.1533,-0.4778,1e-04,0.0376,0.9623
"50","adaptive","084c1","Perfect Toss",2019-05-17 14:01:44,-0.5398,-0.6854,0.2158,-0.432,-0.9525,-0.9674,-0.9674,-0.9154,0.5352,0.933,0.0548,-0.4874,-0.7308,-0.9374,0.0044,0.4332,0.5624
"51","adaptive","085c1","Roller coaster",2019-05-17 13:37:34,-0.4277,-0.6358,0.1276,-0.1782,-0.8637,-0.9674,-0.9674,-0.9548,0.1774,0.7429,0.9674,-0.9674,-0.6527,-0.357,0.0091,0.5396,0.4513
"52","adaptive","086c1","Freefall",2019-05-20 13:30:48,-0.1577,-0.3371,0.4558,-0.0599,-0.4037,-0.9674,-0.9674,-0.9233,0.4869,0.9669,0.9674,-0.9519,-0.2524,0.498,0.0558,0.7255,0.2188
"53","adaptive","087c1","Green Apple",2019-05-20 14:20:36,-0.2548,-0.4592,0.2373,-0.0644,-0.549,-0.9633,-0.9674,-0.9674,-0.0081,0.9664,0.9674,-0.8384,-0.7964,0.9255,0.0305,0.6755,0.2939
"54","adaptive","090c1","Seesaw",2019-05-20 14:24:07,-0.2186,-0.4162,0.3139,-0.0291,-0.5219,-0.966,-0.9673,-0.9606,0.1688,0.9576,0.9674,-0.7805,0.1365,-0.0221,0.0394,0.6952,0.2654
"55","adaptive","091c1","Blocked",2019-05-24 10:42:20,-0.8708,-0.9324,-0.898,-0.8291,-0.869,-0.9674,-0.9674,-0.9674,-0.9452,-0.8998,0.0885,-0.9661,-0.0792,0.3932,6e-04,0.0987,0.9007
"56","adaptive","093c1","Pizza Hill",2019-05-24 10:58:31,-0.3352,-0.5256,0.0658,-0.5145,-0.3115,-0.9674,-0.9674,-0.9674,-0.133,0.596,1e-04,-0.9674,0.4631,0.5304,0.0208,0.6119,0.3673
"57","adaptive","095c1","Perfect Toss",2019-05-24 10:18:04,-0.7717,-0.8858,0.0032,-0.8175,-0.9523,-0.9674,-0.9674,-0.9674,-0.0071,0.9667,0.0063,-0.9672,-0.07,-0.8448,0.0011,0.2002,0.7988
"58","adaptive","096c1","Twin Peaks",2019-05-17 14:27:33,-0.9219,-0.9497,-0.8658,-0.897,-0.9582,-0.9674,-0.9674,-0.9281,-0.6932,-0.9054,-0.0112,-0.9669,-0.7358,-0.0578,1e-04,0.0468,0.9531
"59","adaptive","097c1","Kind Cloud",2019-05-20 14:25:12,-0.1735,-0.3439,0.5322,-0.0684,-0.5076,-0.9674,-0.9672,-0.9674,0.7838,0.9617,0.9672,-0.9674,7e-04,0.0138,0.04,0.7407,0.2193
"60","adaptive","098c1","St. Patrick's Day",2019-05-24 11:00:43,-0.1101,-0.2902,0.268,-0.1369,-0.1204,-0.9674,-0.9674,-0.9674,-0.1217,0.832,0.7033,-0.9674,0.6789,0.3362,0.0428,0.8006,0.1566
"61","adaptive","100c1","Socks",2019-05-24 10:57:30,-0.4141,-0.6145,-0.0385,-0.1815,-0.6897,-0.9674,-0.9674,-0.9674,-0.1212,0.3907,0.9585,-0.9674,-0.0494,0.0849,0.0125,0.5469,0.4406
"62","adaptive","101c1","Flying Brooms",2019-05-24 10:59:02,-0.7519,-0.861,-0.7308,-0.7988,-0.7025,-0.9674,-0.9674,-0.9674,-0.9522,-0.5663,4e-04,-0.9615,-0.0335,0.8521,0.0022,0.2183,0.7795
"63","adaptive","103c1","Tricks",2019-05-24 10:55:44,-0.8751,-0.9434,-0.93,-0.9231,-0.8112,-0.967,-0.9674,-0.9674,-0.9667,-0.96,-0.6571,-0.906,0.1846,0.5858,3e-04,0.0948,0.9049
"64","adaptive","425c1","Twin Peaks",2019-05-20 09:15:12,-0.9122,-0.934,-0.7056,-0.9427,-0.9636,-0.9674,-0.9674,-0.898,-0.5074,-0.6103,-0.774,-0.967,-0.7407,-0.7616,2e-04,0.0568,0.943
